Time,Event
0.13,failure
0.98,PM
9.87,failure
32.56,failure
36.57,failure
44.51,PM
44.73,PM
50.21,failure
67.96,failure
103.42,failure
106.65,failure
107.41,failure
113.98,failure
124.89,failure
124.9,PM
191.89,failure
195.12,PM
200.6,failure
244.31,PM
280.78,failure
298.59,failure
318.59,failure
334.23,failure
343.05,failure
372.38,failure
385.12,failure
392.01,PM
467.7,failure
477.8,failure
492.63,failure
493.07,PM
502.39,PM
509.37,failure
528.94,PM
543.46,PM
617.93,failure
621.64,failure
621.86,failure
646.2,failure
650.17,failure
703.12,failure
708.61,failure
749.88,failure
759.58,failure
779.93,failure
810.83,failure
814.81,failure
818.45,failure
835.07,failure
836.64,failure
853.23,PM
860.06,failure
871.73,PM
898.98,failure
992.43,failure
1031.93,failure
1038.24,failure
1046.42,failure
1052.05,failure
1061.3,PM
1086.56,failure
1090.74,PM
1138.71,failure
1145.25,failure
1177.42,failure
1186.45,failure
1187.52,failure
1203.86,failure
1217.82,failure
1244.6,failure
1262.36,failure
1270.73,failure
1277.67,PM
1392.19,failure
1410.12,failure
1417.92,failure
1443.81,failure
1476.39,PM
1497.11,failure
1532.02,failure
1549.18,failure
1615.18,failure
1640.79,failure
1646.44,failure
1646.74,failure
1651.94,failure
1685.08,failure
1691.83,failure
1745.5,failure
1763.15,failure
1786.25,failure
1789.36,PM
1789.69,failure
1792.15,failure
1815.33,PM
1832.06,failure
1936.24,failure
1973.35,failure
1997.86,failure
